maintenance_id,date,store_id,maintenance_type,description,downtime_hours,cost_mmk,parts_replaced,next_service_date,technician,generator_hours_at_service,status
MNT-2026-0001,2026-01-12,RH-001,INSPECTION,Inspection - minor oil leak noted,0.0,129857,,2026-03-17,Delta Power Solutions,2698,COMPLETED
MNT-2026-0002,2025-12-16,RH-002,EMERGENCY,Fuel injector failure - replaced,22.7,1034114,Battery 12V 200Ah,2026-04-09,Yangon Generator Maintenance,3180,COMPLETED
MNT-2026-0003,2026-01-23,RH-002,EMERGENCY,Alternator failure - rewound,7.3,1360367,Alternator assembly,2026-04-06,U Than Win - PowerGen Services,3674,COMPLETED
MNT-2026-0004,2026-03-07,RH-002,SCHEDULED,500-hour service interval,3.8,299282,"Fuel filter, Oil filter, V-belt",2026-06-27,Generator Myanmar Co.,4152,COMPLETED
MNT-2026-0005,2026-02-22,RH-003,SCHEDULED,Oil change + air filter replacement,2.1,214932,"Coolant 10L, Thermostat, Hoses",2026-05-07,Yangon Generator Maintenance,5076,COMPLETED
MNT-2026-0006,2025-12-12,RH-004,SCHEDULED,Annual comprehensive service,1.4,474324,"Oil filter, Air filter, Engine oil 15L",2026-03-20,Generator Myanmar Co.,6172,COMPLETED
MNT-2026-0007,2026-02-26,RH-004,SCHEDULED,Oil change + air filter replacement,3.0,513246,"Oil filter, Air filter, Engine oil 15L",2026-04-29,Generator Myanmar Co.,6511,COMPLETED
MNT-2026-0008,2026-01-26,RH-005,SCHEDULED,Annual comprehensive service,3.7,537456,"Fuel filter, Oil filter, V-belt",2026-03-29,U Than Win - PowerGen Services,3347,COMPLETED
MNT-2026-0009,2026-02-22,RH-005,EMERGENCY,Radiator leak - patched and refilled,13.4,697947,"Radiator patch kit, Coolant 20L",2026-06-12,Ko Htun Htun - Freelance,3746,COMPLETED
MNT-2026-0010,2026-03-01,RH-005,SCHEDULED,Oil change + air filter replacement,2.3,573389,"Oil filter, Air filter, Engine oil 15L",2026-06-26,Ko Htun Htun - Freelance,4013,COMPLETED
MNT-2026-0011,2025-12-05,RS-001,INSPECTION,Pre-monsoon readiness check,0.0,123074,,2026-02-26,Yangon Generator Maintenance,5196,COMPLETED
MNT-2026-0012,2026-03-09,RS-001,SCHEDULED,Annual comprehensive service,1.5,293690,"Oil filter, Air filter, Engine oil 15L",2026-06-04,Generator Myanmar Co.,5592,COMPLETED
MNT-2026-0013,2025-12-19,RS-002,INSPECTION,Routine inspection - all OK,0.0,88886,,2026-04-14,U Than Win - PowerGen Services,4571,COMPLETED
MNT-2026-0014,2025-12-21,RS-003,SCHEDULED,500-hour service interval,3.5,334584,"Fuel filter, Oil filter, V-belt",2026-04-15,U Than Win - PowerGen Services,3598,COMPLETED
MNT-2026-0015,2026-01-07,RS-003,INSPECTION,Routine inspection - all OK,0.0,135183,,2026-03-17,Yangon Generator Maintenance,4115,COMPLETED
MNT-2026-0016,2026-03-11,RS-003,SCHEDULED,Coolant flush + belt inspection,2.6,562329,"Oil filter, Air filter, Engine oil 15L",2026-06-01,Ko Htun Htun - Freelance,4569,COMPLETED
MNT-2026-0017,2025-11-24,RS-004,SCHEDULED,500-hour service interval,2.8,326049,"Oil filter, Air filter, Engine oil 15L",2026-02-18,Ko Htun Htun - Freelance,4946,COMPLETED
MNT-2026-0018,2026-01-25,RS-005,SCHEDULED,500-hour service interval,3.3,493440,"Coolant 10L, Thermostat, Hoses",2026-04-06,Generator Myanmar Co.,3167,COMPLETED
MNT-2026-0019,2026-02-01,RS-005,INSPECTION,Routine inspection - all OK,0.0,134759,,2026-05-23,Ko Htun Htun - Freelance,3722,COMPLETED
MNT-2026-0020,2026-03-20,RS-005,INSPECTION,Inspection - minor oil leak noted,0.0,136393,,2026-05-19,Generator Myanmar Co.,3981,SCHEDULED
MNT-2026-0021,2025-12-15,RS-006,SCHEDULED,Coolant flush + belt inspection,3.7,581525,"Coolant 10L, Thermostat, Hoses",2026-02-19,Delta Power Solutions,5421,COMPLETED
MNT-2026-0022,2026-03-25,RS-006,EMERGENCY,Battery failure - replaced,9.0,1929728,"Starter motor, Solenoid",2026-07-14,Delta Power Solutions,5639,SCHEDULED
MNT-2026-0023,2026-03-26,RS-006,SCHEDULED,500-hour service interval,3.7,461675,"Fuel filter, Oil filter, V-belt",2026-07-05,Yangon Generator Maintenance,6230,SCHEDULED
MNT-2026-0024,2025-12-12,RS-007,SCHEDULED,500-hour service interval,2.5,364919,"Air filter, Spark plugs x4",2026-03-04,Delta Power Solutions,5547,COMPLETED
MNT-2026-0025,2026-02-22,RS-007,SCHEDULED,Annual comprehensive service,3.9,568478,"Coolant 10L, Thermostat, Hoses",2026-05-18,Yangon Generator Maintenance,6131,COMPLETED
MNT-2026-0026,2026-03-05,RS-007,SCHEDULED,500-hour service interval,3.3,452983,"Coolant 10L, Thermostat, Hoses",2026-05-22,Ko Htun Htun - Freelance,6647,COMPLETED
MNT-2026-0027,2025-10-24,RS-008,SCHEDULED,Oil change + air filter replacement,1.3,501330,"Air filter, Spark plugs x4",2026-01-05,Ko Htun Htun - Freelance,5446,COMPLETED
MNT-2026-0028,2025-10-28,RS-008,EMERGENCY,Alternator failure - rewound,9.1,1752539,Alternator assembly,2026-01-20,Delta Power Solutions,5836,COMPLETED
MNT-2026-0029,2025-10-11,RS-009,SCHEDULED,Coolant flush + belt inspection,3.3,285679,"Coolant 10L, Thermostat, Hoses",2025-12-19,Yangon Generator Maintenance,3314,COMPLETED
MNT-2026-0030,2026-01-21,RS-009,EMERGENCY,Battery failure - replaced,23.6,676438,"Radiator patch kit, Coolant 20L",2026-04-27,Delta Power Solutions,3604,COMPLETED
MNT-2026-0031,2026-02-19,RS-009,SCHEDULED,Annual comprehensive service,1.4,399954,"Coolant 10L, Thermostat, Hoses",2026-05-18,Yangon Generator Maintenance,4010,COMPLETED
MNT-2026-0032,2025-12-11,RS-010,SCHEDULED,Annual comprehensive service,3.2,540257,"Fuel filter, Oil filter, V-belt",2026-02-16,Delta Power Solutions,4487,COMPLETED
MNT-2026-0033,2026-02-01,RS-010,SCHEDULED,Coolant flush + belt inspection,3.8,324517,"Oil filter, Air filter, Engine oil 15L",2026-05-13,U Than Win - PowerGen Services,4701,COMPLETED
MNT-2026-0034,2026-02-12,RC-001,INSPECTION,Pre-monsoon readiness check,0.0,125443,,2026-04-22,Yangon Generator Maintenance,5692,COMPLETED
MNT-2026-0035,2025-12-06,RC-002,SCHEDULED,500-hour service interval,3.6,460380,"Coolant 10L, Thermostat, Hoses",2026-03-09,Delta Power Solutions,4512,COMPLETED
MNT-2026-0036,2026-01-28,RC-003,SCHEDULED,500-hour service interval,3.3,591444,"Coolant 10L, Thermostat, Hoses",2026-04-15,Ko Htun Htun - Freelance,4009,COMPLETED
MNT-2026-0037,2025-10-02,RC-004,EMERGENCY,Battery failure - replaced,23.8,1457150,"Fuel injector x2, Gasket set",2025-12-29,U Than Win - PowerGen Services,2707,COMPLETED
MNT-2026-0038,2025-11-15,RC-005,SCHEDULED,Annual comprehensive service,2.1,221643,"Coolant 10L, Thermostat, Hoses",2026-01-29,Generator Myanmar Co.,4452,COMPLETED
MNT-2026-0039,2026-01-03,RC-005,SCHEDULED,Oil change + air filter replacement,1.4,433796,"Oil filter, Air filter, Engine oil 15L",2026-04-15,Ko Htun Htun - Freelance,4943,COMPLETED
MNT-2026-0040,2026-02-07,RC-005,INSPECTION,Inspection - minor oil leak noted,0.0,116220,,2026-04-29,U Than Win - PowerGen Services,5255,COMPLETED
MNT-2026-0041,2025-10-11,RC-006,INSPECTION,Routine inspection - all OK,0.0,58558,,2026-02-03,Generator Myanmar Co.,3480,COMPLETED
MNT-2026-0042,2025-10-16,RC-006,SCHEDULED,500-hour service interval,1.0,438408,"Fuel filter, Oil filter, V-belt",2026-01-07,U Than Win - PowerGen Services,3773,COMPLETED
MNT-2026-0043,2026-01-28,RC-006,SCHEDULED,Annual comprehensive service,2.5,362373,"Coolant 10L, Thermostat, Hoses",2026-05-04,Delta Power Solutions,4012,COMPLETED
MNT-2026-0044,2025-12-30,RC-007,EMERGENCY,Battery failure - replaced,12.2,1378626,Battery 12V 200Ah,2026-03-11,U Than Win - PowerGen Services,4291,COMPLETED
MNT-2026-0045,2026-03-04,RC-007,SCHEDULED,Oil change + air filter replacement,1.1,252620,"Coolant 10L, Thermostat, Hoses",2026-05-16,U Than Win - PowerGen Services,4809,COMPLETED
